Date,Price,Open,High,Low,Vol.,Change %
12/29/2022,24.9,24.9,25.4,24.1,19.64M,0.00%
12/28/2022,24.9,24.55,24.9,24.35,5.05M,1.43%
12/23/2022,24.55,24.1,24.55,24.3,6.00M,1.87%
12/22/2022,24.1,24.3,24.1,24.05,2.45M,-0.82%
12/21/2022,24.3,24.25,24.45,24.3,7.62M,0.21%
12/20/2022,24.25,24,24.25,24.1,4.52M,1.04%
12/19/2022,24,24.1,24.1,24,3.78M,-0.41%
12/16/2022,24.1,23.5,24.5,23.2,14.13M,2.55%
12/15/2022,23.5,23,23.5,22.95,8.69M,2.17%
12/14/2022,23,23,23.5,23,9.79M,0.00%
12/13/2022,23,22.45,23,22.5,14.19M,2.45%
12/12/2022,22.45,22.1,22.55,22.1,5.53M,1.58%
12/09/2022,22.1,22.05,22.1,22.1,831.39K,0.23%
12/08/2022,22.05,22,22.05,22,5.00M,0.23%
12/07/2022,22,22.05,22.2,22,12.51M,-0.23%
12/06/2022,22.05,22.2,22.1,22.05,3.60M,-0.68%
12/05/2022,22.2,22.75,22.7,22,11.51M,-2.42%
12/02/2022,22.75,22.75,22.75,22.6,3.43M,0.00%
12/01/2022,22.75,21.9,22.9,22.15,9.79M,3.88%
11/30/2022,21.9,21.7,21.9,21.7,8.04M,0.92%
11/29/2022,21.7,22,21.8,21.6,9.33M,-1.36%
11/28/2022,22,21.9,22,21.7,7.12M,0.46%
11/25/2022,21.9,22,21.9,21.7,6.39M,-0.45%
11/24/2022,22,22.7,22.5,21.6,5.27M,-3.08%
11/23/2022,22.7,22.1,22.75,22,11.12M,2.71%
11/22/2022,22.1,21.7,22.5,21.65,13.55M,1.84%
11/21/2022,21.7,21.35,21.75,21.35,11.48M,1.64%
11/18/2022,21.35,21.3,21.35,21,4.90M,0.23%
11/17/2022,21.3,21.8,21.7,21.3,5.52M,-2.29%
11/16/2022,21.8,20.1,21.9,20.1,14.01M,8.46%
11/15/2022,20.1,19.95,20.2,19.9,4.58M,0.75%
11/14/2022,19.95,19.95,20.1,19.95,19.32M,0.00%
11/11/2022,19.95,19.9,20,19.9,5.28M,0.25%
11/10/2022,19.9,19.95,20,19.9,17.17M,-0.25%
11/09/2022,19.95,19.9,20,19.75,13.47M,0.25%
11/08/2022,19.9,20,20,19.9,10.73M,-0.50%
11/07/2022,20,19.85,20,19.85,15.13M,0.76%
11/04/2022,19.85,19.9,19.9,19.8,10.14M,-0.25%
11/03/2022,19.9,19.95,19.9,19.8,7.19M,-0.25%
11/02/2022,19.95,20,19.95,19.75,8.37M,-0.25%
11/01/2022,20,20,20.15,20,9.57M,0.00%
10/31/2022,20,20.1,20.2,20,6.91M,-0.50%
10/28/2022,20.1,20.1,20.2,19.8,7.27M,0.00%
10/27/2022,20.1,19.6,20.1,19.6,6.13M,2.55%
10/26/2022,19.6,19.75,19.75,19.5,6.25M,-0.76%
10/25/2022,19.75,20,20,19.7,5.28M,-1.25%
10/24/2022,20,20.05,20.15,20,2.60M,-0.25%
10/21/2022,20.05,20.2,20.05,20,10.77M,-0.74%
10/20/2022,20.2,20.35,20.3,20.2,3.12M,-0.74%
10/19/2022,20.35,20.4,20.4,20.35,6.32M,-0.25%
10/18/2022,20.4,20.2,20.85,20.2,13.16M,0.99%
10/17/2022,20.2,20,20.2,20.1,2.46M,1.00%
10/14/2022,20,19.55,20,19.5,5.53M,2.30%
10/13/2022,19.55,19.45,19.6,19.5,8.53M,0.51%
10/12/2022,19.45,19.4,19.65,19.4,11.82M,0.26%
10/11/2022,19.4,19.55,19.65,19.4,5.04M,-0.77%
10/07/2022,19.55,19.3,19.55,19.25,7.43M,1.30%
10/06/2022,19.3,19,19.3,19,14.40M,1.58%
10/05/2022,19,19.3,19.5,19,6.37M,-1.55%
10/04/2022,19.3,20,20,19.3,14.39M,-3.50%
09/30/2022,20,20,20,19.95,21.52M,0.00%
09/29/2022,20,19.9,20,19.75,14.17M,0.50%
09/28/2022,19.9,20.2,20,19.65,11.56M,-1.49%
09/27/2022,20.2,20,20.45,20,35.27M,1.00%
09/26/2022,20,19.95,20,19.95,8.87M,0.25%
09/23/2022,19.95,20,20.05,19.9,20.83M,-0.25%
09/22/2022,20,20,20.1,20,24.39M,0.25%
09/21/2022,19.95,19.95,19.95,19.8,6.30M,0.76%
09/20/2022,19.8,19.75,19.8,19.7,11.09M,0.25%
09/19/2022,19.75,19.75,19.8,19.65,9.25M,0.00%
09/16/2022,19.75,19.65,19.8,19.65,11.97M,0.51%
09/15/2022,19.65,19.5,19.9,19.5,8.57M,0.77%
09/14/2022,19.5,20,20.1,19.5,18.25M,-2.50%
09/13/2022,20,20.05,20.4,20,26.74M,-0.25%
09/12/2022,20.05,20.05,20.2,20,5.92M,0.00%
09/09/2022,20.05,20.05,20.2,20.05,14.02M,0.00%
09/08/2022,20.05,20.05,20.2,20,8.26M,0.00%
09/07/2022,20.05,19.95,20.25,20,10.19M,-0.99%
09/06/2022,20.25,21,21,20.25,12.50M,-3.57%
09/05/2022,21,21.5,21.9,21,9.49M,-2.33%
09/02/2022,21.5,21.25,21.5,21.45,12.40M,1.18%
09/01/2022,21.25,21.9,21.95,21.25,7.45M,-2.97%
08/31/2022,21.9,21.95,21.95,21.9,6.04M,-0.23%
08/30/2022,21.95,22,22,21.9,6.90M,0.00%
08/29/2022,21.95,21.9,22,21.9,12.45M,0.23%
08/26/2022,21.9,22,22,21.9,6.78M,-0.45%
08/25/2022,22,22,22,21.95,5.54M,0.00%
08/24/2022,22,22,22.3,21.95,11.86M,0.00%
08/23/2022,22,22,22.2,22,25.20M,0.00%
08/22/2022,22,21.95,22,21.9,6.40M,0.23%
08/19/2022,21.95,21.95,21.95,21.9,7.07M,0.00%
08/18/2022,21.95,21.7,21.95,21.7,5.75M,1.15%
08/17/2022,21.7,21.8,21.8,21.65,16.66M,-0.46%
08/16/2022,21.8,21.7,21.85,21.5,6.25M,0.46%
08/15/2022,21.7,21.25,21.7,21.45,8.34M,2.12%
08/12/2022,21.25,21.4,21.45,21.25,9.71M,-0.70%
08/11/2022,21.4,21.45,21.5,21.4,5.76M,-0.23%
08/10/2022,21.45,21.25,21.5,21.4,5.39M,0.94%
08/09/2022,21.25,21.25,21.35,21.15,4.45M,0.00%
08/08/2022,21.25,21.9,21.9,21,10.23M,-2.97%
08/05/2022,21.9,22,22,21.75,10.17M,-0.45%
08/04/2022,22,21.4,22,21.4,6.57M,2.80%
08/03/2022,21.4,21.4,21.4,21.3,8.37M,0.00%
08/02/2022,21.4,21,21.4,21,9.29M,1.90%
08/01/2022,21,20.7,21.1,20.95,20.45M,1.45%
07/29/2022,20.7,18.9,20.75,19.35,22.70M,9.52%
07/28/2022,18.9,20.6,20.55,18.9,16.93M,-8.25%
07/27/2022,20.6,21,21,20.5,9.28M,-1.90%
07/26/2022,21,21.7,21.7,21,11.39M,-3.23%
07/25/2022,21.7,20.75,21.7,20.85,12.27M,4.58%
07/22/2022,20.75,21.95,21.95,20.75,16.04M,-5.47%
07/21/2022,21.95,21.95,21.95,21.85,9.49M,0.00%
07/20/2022,21.95,22,22,21.9,4.50M,-0.23%
07/19/2022,22,22,22.25,22,3.78M,0.00%
07/18/2022,22,22.2,22.4,22,10.68M,-0.90%
07/15/2022,22.2,22.1,22.4,22.1,5.62M,0.45%
07/14/2022,22.1,22.45,22.65,22.1,6.59M,-1.56%
07/13/2022,22.45,22,22.5,22.3,3.50M,2.05%
07/08/2022,22,21.85,22,21.8,8.36M,0.69%
07/07/2022,21.85,21.75,21.95,21.8,3.90M,0.46%
07/06/2022,21.75,21.65,21.85,21.7,7.22M,0.46%
07/05/2022,21.65,22.1,22.1,21.65,11.74M,-2.04%
07/04/2022,22.1,21.85,22.2,22,8.58M,1.14%
07/01/2022,21.85,21.7,21.9,21.7,5.42M,0.69%
06/30/2022,21.7,21.7,21.7,21.65,14.07M,0.00%
06/29/2022,21.7,21.65,21.7,21.65,12.68M,0.23%
06/28/2022,21.65,21.7,21.7,21.6,16.09M,-0.23%
06/27/2022,21.7,21.65,21.75,21.65,11.86M,0.23%
06/24/2022,21.65,21.6,21.8,21.55,8.24M,0.23%
06/23/2022,21.6,21.95,22,21.6,9.38M,-1.59%
06/22/2022,21.95,22,22.1,21.95,14.53M,-0.23%
06/21/2022,22,22,22.1,22,12.81M,0.00%
06/20/2022,22,21.4,22,21.65,7.83M,2.80%
06/17/2022,21.4,21.95,21.95,21.25,33.20M,-2.51%
06/16/2022,21.95,22.25,22.2,21.95,17.34M,-1.35%
06/15/2022,22.25,22.7,22.5,22.25,12.84M,-1.98%
06/14/2022,22.7,22.85,22.85,22.6,8.21M,-0.66%
06/10/2022,22.85,22.85,23,22.8,14.74M,0.00%
06/09/2022,22.85,23.4,23.3,22.85,12.58M,-2.35%
06/08/2022,23.4,23.4,23.4,23.3,4.58M,0.00%
06/07/2022,23.4,23.35,23.5,23.35,7.92M,0.21%
06/06/2022,23.35,23.45,23.5,23.3,8.92M,-0.43%
06/03/2022,23.45,23,23.45,23.35,9.76M,1.96%
06/02/2022,23,23.45,23.5,22.95,26.92M,-1.92%
06/01/2022,23.45,23.45,23.7,23.4,5.64M,0.00%
05/31/2022,23.45,23.85,23.8,23.45,11.98M,-1.68%
05/30/2022,23.85,23.9,24,23.85,4.47M,-0.21%
05/27/2022,23.9,23.85,24,23.9,5.05M,0.21%
05/26/2022,23.85,23.6,24,23.85,7.18M,1.06%
05/25/2022,23.6,24,23.9,23.5,15.34M,-1.67%
05/24/2022,24,24.05,24.1,24,24.99M,-0.21%
05/23/2022,24.05,24,24.4,24,8.58M,-0.21%
05/20/2022,24.1,24.3,24.3,24,6.98M,-0.82%
05/19/2022,24.3,24.4,24.4,24.3,4.13M,-0.41%
05/18/2022,24.4,24.1,24.4,24.2,3.46M,1.24%
05/17/2022,24.1,24.35,24.3,24.1,7.50M,-1.03%
05/16/2022,24.35,24.5,24.35,24.25,4.80M,-0.61%
05/13/2022,24.5,24,24.5,24.15,10.28M,2.08%
05/12/2022,24,24.5,24.5,24,24.48M,-1.23%
05/11/2022,24.3,24.25,24.5,24.15,16.21M,0.21%
05/10/2022,24.25,24.3,24.6,24.2,4.49M,-0.21%
05/09/2022,24.3,24.45,25,24.25,21.20M,-0.61%
05/06/2022,24.45,24,25,24,24.05M,1.88%
05/05/2022,24,24.15,24.2,23.9,29.35M,-0.62%
05/04/2022,24.15,24.5,24.5,24.1,15.85M,-1.43%
04/29/2022,24.5,24.55,24.75,24.4,8.17M,-0.20%
04/28/2022,24.55,24.15,24.7,24.35,2.54M,1.66%
04/27/2022,24.15,24.8,24.35,24.05,9.29M,-2.62%
04/26/2022,24.8,25.55,25.5,24.8,19.44M,-2.94%
04/25/2022,25.55,25.3,25.8,25.2,35.84M,0.99%
04/22/2022,25.3,24.3,25.3,24,39.90M,4.12%
04/21/2022,24.3,24,24.3,24,10.82M,1.25%
04/20/2022,24,24.85,24.65,23.8,23.65M,-3.42%
04/19/2022,24.85,25,25,24,13.04M,-0.60%
04/14/2022,25,25.1,25.1,24.95,31.09M,-0.40%
04/13/2022,25.1,25.4,25.4,24.8,43.91M,-1.18%
04/12/2022,25.4,24,25.4,24,27.21M,5.83%
04/11/2022,24,23,24.15,23.2,31.12M,4.35%
04/08/2022,23,22.8,23,22.8,11.95M,0.88%
04/07/2022,22.8,22.65,22.9,22.75,23.30M,0.66%
04/06/2022,22.65,22.75,22.75,22.65,10.00M,-0.44%
04/05/2022,22.75,22,23,22.2,12.07M,3.41%
04/04/2022,22,22.4,22.4,22,12.58M,-1.79%
04/01/2022,22.4,22.4,22.4,22.3,24.19M,0.00%
03/31/2022,22.4,22.75,22.75,22.4,15.25M,-1.54%
03/30/2022,22.75,23.25,23.1,22.5,15.84M,-2.15%
03/29/2022,23.25,23.55,23.6,23.25,11.71M,-1.27%
03/28/2022,23.55,24.1,24,23.4,13.10M,-12.45%
03/25/2022,26.9,26.6,26.9,26.55,22.05M,1.13%
03/24/2022,26.6,26.9,26.9,26.5,20.18M,-1.12%
03/23/2022,26.9,26.95,26.9,26.85,12.61M,-0.19%
03/22/2022,26.95,26.8,26.95,26.75,28.22M,-0.19%
03/21/2022,27,26.65,27,26.65,19.93M,1.31%
03/18/2022,26.65,26.45,26.75,26.55,8.66M,0.76%
03/17/2022,26.45,26.4,26.55,26.4,8.73M,0.19%
03/16/2022,26.4,26.8,26.8,26.4,10.03M,-1.49%
03/15/2022,26.8,27,27,26.8,9.64M,-0.74%
03/14/2022,27,27,27.1,26.95,28.46M,0.00%
03/11/2022,27,26.7,27,26.7,29.95M,1.12%
03/10/2022,26.7,26.5,26.8,24.55,14.31M,0.75%
03/09/2022,26.5,26.8,26.8,26.5,22.29M,-1.12%
03/08/2022,26.8,26.85,26.9,26.7,14.27M,-0.19%
03/07/2022,26.85,26.45,26.9,26.5,10.63M,1.51%
03/04/2022,26.45,26.7,26.65,26.35,13.01M,-0.94%
03/03/2022,26.7,26.95,26.9,26.5,11.86M,-0.93%
03/02/2022,26.95,27,27,26.35,17.51M,-0.19%
03/01/2022,27,27.1,27.2,26.95,23.08M,-0.37%
02/28/2022,27.1,26.95,27.2,26.9,15.49M,0.56%
02/25/2022,26.95,27,27,26.95,5.41M,-0.19%
02/24/2022,27,26.95,27.05,27,4.72M,0.19%
02/23/2022,26.95,26.95,27.05,26.95,11.23M,0.00%
02/22/2022,26.95,26.95,27,26.9,51.63M,0.00%
02/21/2022,26.95,26.8,27,26.8,46.33M,0.56%
02/18/2022,26.8,26.8,26.85,26.8,10.62M,0.00%
02/17/2022,26.8,26.85,26.85,26.8,11.80M,-0.19%
02/16/2022,26.85,26.85,26.9,26.8,17.29M,0.00%
02/15/2022,26.85,27.05,26.9,26.85,5.67M,-0.74%
02/14/2022,27.05,26.9,27.05,26.45,20.00M,0.56%
02/11/2022,26.9,27.4,27.3,26.9,16.59M,-1.82%
02/10/2022,27.4,27.1,27.4,27.15,11.65M,1.11%
02/09/2022,27.1,27,27.1,27,15.84M,0.37%
02/08/2022,27,26.95,27,26.45,24.32M,0.19%
02/07/2022,26.95,26.35,27,26.6,9.72M,2.28%
02/04/2022,26.35,26.15,26.35,26.3,6.00M,0.76%
02/03/2022,26.15,26.5,26.5,26.1,12.85M,-1.32%
02/02/2022,26.5,27.35,27.35,26.4,30.05M,-3.11%
02/01/2022,27.35,26.05,27.5,26,12.72M,4.99%
01/31/2022,26.05,25.75,26.05,25.85,17.51M,1.17%
01/28/2022,25.75,25.5,25.8,25.5,26.72M,0.98%
01/27/2022,25.5,25.4,25.5,25.45,7.84M,0.39%
01/26/2022,25.4,25.4,25.45,25.35,12.12M,0.00%
01/25/2022,25.4,25.6,25.65,25.4,17.32M,-0.78%
01/24/2022,25.6,25.8,25.75,25.55,4.78M,-0.78%
01/21/2022,25.8,25.85,25.85,25.75,8.10M,-0.19%
01/20/2022,25.85,25.8,25.95,25.8,9.50M,0.19%
01/19/2022,25.8,25.7,25.8,25.75,6.27M,0.39%
01/18/2022,25.7,25.5,25.8,25.5,4.28M,0.78%
01/17/2022,25.5,25.5,25.5,25.4,20.92M,0.00%
01/14/2022,25.5,25.5,25.6,25.5,10.54M,0.00%
01/13/2022,25.5,25.45,25.5,25.45,4.48M,0.20%
01/12/2022,25.45,25.4,25.45,25.35,3.89M,0.20%
01/11/2022,25.4,25.35,25.45,25.35,10.91M,0.20%
01/10/2022,25.35,25.4,25.5,25.35,12.13M,-0.20%
01/07/2022,25.4,25.35,25.5,25.35,11.98M,0.20%
01/06/2022,25.35,25.3,25.5,25.35,10.27M,0.20%
01/05/2022,25.3,25.3,25.35,25.25,10.88M,0.00%
01/04/2022,25.3,25.15,25.3,25.05,11.04M,0.60%
12/31/2021,25.15,25,26,25,70.25M,0.60%
12/30/2021,25,24.75,25,24.8,9.00M,1.01%
12/29/2021,24.75,24.4,24.85,24.75,7.94M,1.43%
12/24/2021,24.4,24.2,24.5,24,5.91M,0.83%
12/23/2021,24.2,24.4,24.45,24.2,5.93M,-0.82%
12/22/2021,24.4,24.65,24.6,24.4,3.85M,-1.01%
12/21/2021,24.65,24.85,24.95,24.65,6.78M,-0.80%
12/20/2021,24.85,24.8,24.95,24.8,3.68M,0.20%
12/17/2021,24.8,24.8,25.2,24.8,21.94M,0.00%
12/16/2021,24.8,24.8,24.9,24.7,9.62M,0.00%
12/15/2021,24.8,24.75,24.8,24.75,3.29M,0.20%
12/14/2021,24.75,25.05,25,24.75,3.22M,-1.20%
12/13/2021,25.05,25.5,25.2,24.9,9.73M,-1.76%
12/10/2021,25.5,24.55,25.5,24.55,13.27M,3.87%
12/09/2021,24.55,24,24.55,23.95,18.70M,2.29%
12/08/2021,24,24,24,23.9,11.92M,0.00%
12/07/2021,24,23.5,24,23.5,11.28M,2.13%
12/06/2021,23.5,23.5,23.5,23.4,10.25M,0.00%
12/03/2021,23.5,23.55,23.8,23.5,8.03M,-0.21%
12/02/2021,23.55,24,24,23.55,14.56M,-1.88%
12/01/2021,24,23.95,24.05,23.95,18.34M,0.21%
11/30/2021,23.95,24.2,24.15,23.95,38.97M,-1.03%
11/29/2021,24.2,24.35,24.2,24.1,12.78M,-0.62%
11/26/2021,24.35,24.45,24.4,24.3,13.15M,-0.41%
11/25/2021,24.45,24.45,24.5,24.4,22.89M,0.00%
11/24/2021,24.45,24.2,24.45,24.2,37.41M,1.03%
11/23/2021,24.2,24.2,24.5,24.2,13.43M,0.00%
11/22/2021,24.2,23.9,24.2,23.9,11.74M,1.26%
11/19/2021,23.9,24.1,24.15,23.9,7.55M,-0.83%
11/18/2021,24.1,24.1,24.2,24.1,4.63M,0.00%
11/17/2021,24.1,24.05,24.95,24.05,7.56M,0.21%
11/16/2021,24.05,24.05,24.15,24,6.47M,0.00%
11/15/2021,24.05,24,24.1,23.95,16.16M,0.21%
11/12/2021,24,24,24,23.95,9.67M,0.00%
11/11/2021,24,24.1,24.1,24,12.52M,-0.41%
11/10/2021,24.1,24.4,24.4,24.1,11.42M,-1.23%
11/09/2021,24.4,24.5,24.5,24.4,17.48M,-0.41%
11/08/2021,24.5,24.6,24.6,24.4,32.62M,-0.41%
11/05/2021,24.6,24.5,24.85,24.6,1.68M,0.41%
11/04/2021,24.5,24.5,24.6,24.5,5.31M,0.00%
11/03/2021,24.5,25,25,24.5,5.76M,-2.00%
11/02/2021,25,25.15,25.1,25,29.90M,-0.60%
11/01/2021,25.15,25.25,25.3,25,13.49M,-0.40%
10/29/2021,25.25,25.05,25.25,25,9.00M,0.80%
10/28/2021,25.05,25,25.2,24.95,5.54M,0.20%
10/27/2021,25,24.8,25,24.85,5.72M,0.81%
10/26/2021,24.8,24.9,25,24.65,7.82M,-0.40%
10/25/2021,24.9,25,25,24.9,7.29M,-0.40%
10/22/2021,25,24.95,25,24.9,8.98M,0.20%
10/21/2021,24.95,24.95,25,24.9,6.16M,0.00%
10/20/2021,24.95,24.85,25.05,24.85,11.94M,0.40%
10/18/2021,24.85,24.7,25,24.7,7.04M,0.61%
10/15/2021,24.7,24.7,24.9,24.5,5.11M,0.00%
10/14/2021,24.7,24.8,24.8,24.7,9.80M,-0.40%
10/13/2021,24.8,24.55,24.8,24.6,4.15M,1.02%
10/12/2021,24.55,24.55,24.6,24.55,6.70M,0.00%
10/11/2021,24.55,24.5,24.7,24.5,12.23M,0.20%
10/08/2021,24.5,24.15,24.5,24.3,3.92M,1.45%
10/07/2021,24.15,24.05,24.3,24,11.66M,0.42%
10/06/2021,24.05,23.9,24.4,23.9,11.63M,0.63%
10/05/2021,23.9,23.5,23.95,23.55,9.22M,1.70%
10/04/2021,23.5,23.45,23.55,23.5,9.38M,0.21%
09/30/2021,23.45,23.5,23.6,23.3,10.51M,-0.21%
09/29/2021,23.5,23.3,23.5,23.2,12.11M,0.86%
09/28/2021,23.3,23.45,23.45,23.3,5.75M,-0.64%
09/27/2021,23.45,23.5,23.5,23.45,4.82M,-0.21%
09/24/2021,23.5,22.85,23.5,22.85,12.02M,2.84%
09/23/2021,22.85,22.9,22.9,22.8,9.20M,-0.22%
09/22/2021,22.9,22.95,22.95,22.8,11.76M,-0.22%
09/21/2021,22.95,23.5,23.4,22.7,14.20M,-2.34%
09/20/2021,23.5,23.8,23.7,23.5,5.66M,-1.26%
09/17/2021,23.8,23.65,23.8,23.65,9.95M,0.63%
09/16/2021,23.65,23.65,23.65,23.5,8.49M,0.00%
09/15/2021,23.65,23.8,23.75,23.5,9.71M,-0.63%
09/14/2021,23.8,23.7,23.8,23.6,8.32M,0.42%
